country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability,defense_mechanism,resolution_time_hr,url,url_type,site_label
India,2020,Ransomware,Government,12.64,10206,Hacker Group,Weak Passwords,Encryption,28,http://www.richpictures.co.uk/vows,defacement,good
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23,http://tobogo.net/cdsb/board.php?board=unfair&bm=view&no=74&category=&auth=&page=1&search=&keyword=&recom=,benign,good
India,2024,Malware,IT,92.08,430701,Hacker Group,Unpatched Software,VPN,54,dailymotion.com/video/xm4y51_watch-allan-green-vs-sebastien-demers-live-boxing_sport,benign,bad
Australia,2019,SQL Injection,Government,99.2,605470,Nation-state,Unpatched Software,Encryption,18,ltfc.webs.com/,benign,good
Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32,musicstack.com/album/randy_stonehill/equator,benign,good
Germany,2017,DDoS,Telecommunications,15.01,406483,Insider,Weak Passwords,Antivirus,62,encyclopediavirginia.org/Davis_Jefferson_1808-1889,benign,good
Japan,2024,Malware,Telecommunications,49.88,437357,Unknown,Weak Passwords,AI-based Detection,56,spokeo.com/Diane+Dufresne,benign,good
USA,2018,SQL Injection,Healthcare,73.16,849755,Insider,Weak Passwords,Encryption,46,http://115.55.20.74:56168/Mozi.m,malware,good
UK,2023,DDoS,Government,34.8,48515,Hacker Group,Social Engineering,Encryption,50,brom-build.ro,phishing,good
Japan,2015,Man-in-the-Middle,Education,50.99,685261,Nation-state,Unpatched Software,AI-based Detection,36,www.armstrong.com/commflreu/en-de/,phishing,good
Russia,2019,Ransomware,Retail,19.97,722544,Hacker Group,Social Engineering,Encryption,14,http://top-marks.co.za/wp-content/plugins/inboundwriter/images/Trulia/index.htm,phishing,good
China,2022,Ransomware,Education,49.56,257224,Hacker Group,Social Engineering,Firewall,46,en.wikipedia.org/wiki/Augustus_C._French,benign,good
India,2017,Malware,Telecommunications,7.44,552358,Nation-state,Weak Passwords,AI-based Detection,42,umdbulldogs.com/viewroster.php?height=500&width=700&modal=true&id=1127,benign,good
UK,2017,Phishing,IT,57.17,477292,Nation-state,Social Engineering,AI-based Detection,18,content.usatoday.com/community/tags/topic.aspx?req=tag&tag=McClymonds,benign,good
Japan,2021,SQL Injection,Education,3.97,604843,Insider,Unpatched Software,AI-based Detection,40,crossedbrushstudio.com/windowsintoourpast/Vol5/pasley.htm,benign,good
France,2020,Man-in-the-Middle,IT,88.42,688016,Nation-state,Zero-day,Antivirus,26,centralhockeyleague.com/pressroom/index.html?article_id=2618&content_type=printable&plugin_id=news.front.system&block_id=5001,benign,good
Australia,2022,DDoS,Education,92.06,721334,Insider,Social Engineering,VPN,31,http://www.vitalsil.pt/index.php?Itemid=59&option=com_zoo&view=category&category_id=59,defacement,good
Brazil,2017,SQL Injection,Banking,66.78,698892,Unknown,Zero-day,AI-based Detection,24,royalsretro.blogspot.com/2008/07/top-ten-greatest-kansas-city-athletics.html,benign,good
Japan,2015,Malware,Healthcare,27.92,775042,Unknown,Zero-day,Encryption,12,icar.ro/cms/here/?cmd=_login-submit&dispatch=5885d80a13c0db1f8e263663d3fae,benign,good
Russia,2015,DDoS,Government,97.4,23096,Unknown,Weak Passwords,Firewall,38,rivals.yahoo.com/highschool/hockey/recruiting/player-Scott-Oke-124303,benign,good
Germany,2023,Man-in-the-Middle,Retail,23.28,651963,Insider,Unpatched Software,AI-based Detection,53,youtube.com/watch?v=BRRJaIeHcAw,benign,bad
Australia,2023,Malware,Healthcare,37.73,158107,Unknown,Unpatched Software,AI-based Detection,43,center-kc.com/,benign,bad
Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25,megamediamagazine.nl/artiesten.php?l=d,benign,good
Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69,captainamerica.marvel.com/,benign,good
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30,spokeo.com/Joseph+Cyr,benign,good
Russia,2021,SQL Injection,Government,66.5,348118,Hacker Group,Zero-day,VPN,42,www.isa.org/MSTemplate.cfm?MicrositeID=1175&amp;CommitteeID=6932,phishing,good
Brazil,2024,Man-in-the-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14,http://www.prefina.it/notizie/notizie-generali/51-unifidi-garanzia-sugli-investimenti-materiali-immateriali-e-formazione-di-scorte.html,defacement,good
USA,2020,Phishing,Government,37.66,449424,Unknown,Unpatched Software,Firewall,3,answers.com/topic/unfortunately-album,benign,good
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17,homeofheroes.com/members/03_DSM/army/citations/04b_Foreign1.html,benign,good
UK,2022,DDoS,Education,21.01,452432,Nation-state,Unpatched Software,Firewall,8,tehbilly.com/aol.com.htm,benign,good
Russia,2023,Ransomware,Banking,54.09,514319,Hacker Group,Zero-day,Firewall,37,http://www.protect-effect.nl/aanvraagformulier,defacement,good
China,2019,Man-in-the-Middle,Telecommunications,58.78,586131,Nation-state,Unpatched Software,Antivirus,68,revcom.us/a/072/mexico-en.html,benign,good
UK,2022,Ransomware,Healthcare,75.67,413293,Hacker Group,Zero-day,Antivirus,27,ballymenashamrockcsc.com/,benign,good
Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11,birthdaypresentforhim.com/famous-persons-born-in-june-names-start-with-t.html,benign,good
China,2023,DDoS,Education,42.64,720850,Unknown,Social Engineering,VPN,17,workchic.com/,benign,good
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,askbiography.com/bio/Johnny_Yong_Bosch.html,benign,good
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3,kansascitykansan.com/tags/kansas-city-royals,benign,good
Brazil,2023,DDoS,Government,42.75,746425,Unknown,Zero-day,VPN,24,http://www.pret.im/7ff5c1169366d64d91935f44fc2bae3c/login.php,phishing,bad
USA,2020,DDoS,IT,96.08,156275,Insider,Social Engineering,Encryption,24,informationr.net/ir/11-2/paper249.html,phishing,bad
France,2015,Phishing,Retail,84.86,190100,Nation-state,Zero-day,AI-based Detection,69,youtube.com/watch?v=8SpxmXugo3k,benign,good
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,www.glorianon.com/psp/,phishing,good
Japan,2021,Phishing,Healthcare,9.42,573560,Hacker Group,Social Engineering,Antivirus,9,rasmussenreports.com/public_content/politics/elections/election_2010/election_2010_governor_elections/illinois/election_2010_illinois_governor,benign,good
France,2019,DDoS,Telecommunications,52.94,192293,Nation-state,Weak Passwords,VPN,57,www.skally.net/mead/,phishing,good
Russia,2022,Phishing,Education,33.49,68371,Nation-state,Unpatched Software,Firewall,57,sciencedaily.com/releases/2011/01/110121103748.htm,benign,good
India,2016,Malware,IT,34.78,294587,Unknown,Social Engineering,AI-based Detection,43,indianadinner.com/brazil/,benign,good
Germany,2015,DDoS,Healthcare,33.96,931456,Hacker Group,Zero-day,AI-based Detection,22,http://eurotravel.com.br/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2V1cm90cmF2ZWwuY29tLmJyL2luZGV4LnBocD9vcHRpb249Y29tX2syJnZpZXc9aXRlbSZsYXlvdXQ9aXRlbSZpZD0yMSZJdGVtaWQ9NTM=,defacement,good
Russia,2017,Man-in-the-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29,voiceplaces.com/yoshis-at-jack-london-square-san-francisco-bay-area-2618799-l/,benign,bad
Germany,2017,Ransomware,Retail,68.73,509742,Nation-state,Zero-day,Antivirus,43,topix.com/forum/city/rosemount-mn/TE8I3KCL9T8RESFQU,benign,good
UK,2017,Man-in-the-Middle,Telecommunications,43.82,213979,Hacker Group,Unpatched Software,Firewall,10,http://172.39.37.109:38099/Mozi.m,malware,good
Australia,2020,DDoS,Healthcare,91.45,471113,Hacker Group,Unpatched Software,AI-based Detection,71,eldredtwp.org/directory.html,benign,good
Germany,2023,Phishing,Government,88.55,698597,Unknown,Social Engineering,Antivirus,66,pastehtml.com/view/bewrcx40f.html,benign,good
France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26,http://111.43.223.112:47199/Mozi.m,malware,good
Japan,2023,SQL Injection,IT,8.24,183702,Nation-state,Zero-day,VPN,57,http://philippinesummerfestival.com/component/content/article/40-philippinesummer-festival/93-the-2011-philippine-summer-festival-is-set-to-launch-.html?tmpl=component&print=1&page=,defacement,good
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68,content.usatoday.com/community/tags/topic.aspx?req=tag&tag=Bobby%20Smith,benign,good
Germany,2022,DDoS,IT,73.98,953770,Insider,Weak Passwords,Firewall,54,rombastul.cz/global/,benign,bad
Australia,2019,Phishing,Banking,1.13,507976,Hacker Group,Zero-day,AI-based Detection,70,http://www.tmftabriz.com/index.php?option=com_user&view=register,defacement,good
UK,2018,Man-in-the-Middle,IT,75.81,574089,Unknown,Unpatched Software,Firewall,32,clevelandart.org/exhibcef/duncan/html/,benign,good
Brazil,2016,DDoS,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63,www.commerce.virginia.edu/centers/cmit,phishing,good
Brazil,2016,SQL Injection,Education,16.24,238092,Nation-state,Zero-day,AI-based Detection,32,bridge-line.org/blhs/blhsmain.html,benign,good
Australia,2021,Ransomware,Healthcare,37.89,843256,Nation-state,Unpatched Software,Antivirus,43,www.astro.caltech.edu/~tjp/pgplot/,phishing,good
France,2020,DDoS,Education,16.35,728830,Insider,Zero-day,AI-based Detection,45,http://batutik.com.ua/produkcziya/complex/38-sobakagorka.html,defacement,good
Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25,tuk-tuk.com/map/Icons/Religion/brah.png,malware,good
China,2021,Phishing,Retail,41.97,617987,Insider,Social Engineering,Antivirus,23,ancestorsatrest.com/military_records/,benign,bad
UK,2021,Ransomware,Banking,4.22,65148,Nation-state,Weak Passwords,VPN,15,sportscollectors.net/Signings.aspx,benign,good
China,2015,Ransomware,Government,57.59,887037,Insider,Unpatched Software,VPN,39,http://manola-souvanlasy.com/index.php?option=com_user&view=remind,defacement,good
Japan,2024,Phishing,Retail,94.75,478963,Insider,Zero-day,VPN,70,https://g074o.codesandbox.io/,phishing,good
Russia,2021,Ransomware,Healthcare,85.65,920121,Unknown,Social Engineering,Antivirus,21,talk-sports.net/cfl/girlfriend.aspx/Jason_Arakgi,benign,good
India,2023,Ransomware,Banking,42.02,827952,Hacker Group,Unpatched Software,AI-based Detection,21,getsocial.bo.lt/2v2dw,benign,good
USA,2017,Ransomware,Government,89.9,828963,Unknown,Zero-day,Firewall,2,https://mitsui-jyuku.mixh.jp/uploads/58913687ead846bae3d6dc2187ebf1d00be.exe,malware,good
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62,steamcommunitylog.chez.com/,benign,good
Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39,dressyrooms.co.uk,phishing,good
Germany,2016,Man-in-the-Middle,IT,13.21,549414,Unknown,Social Engineering,Encryption,70,diet-blog.com/11/muesli_fusion_all-natural_raw_cereal_put_to_the_test.php,benign,good
Germany,2015,Phishing,Retail,84.77,779922,Nation-state,Zero-day,Antivirus,50,lib.utexas.edu/taro/utcah/00015/cah-00015.html,benign,bad
USA,2016,Ransomware,Retail,57.17,50321,Nation-state,Social Engineering,Antivirus,25,azjewishtheatre.org/,benign,good
Russia,2016,Malware,Telecommunications,52.2,279065,Hacker Group,Unpatched Software,VPN,62,http://www.qrscelltech.com/sejeal.jpg,defacement,good
Brazil,2016,SQL Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44,kula-dep.justdied.com,phishing,good
China,2016,Ransomware,IT,37.22,788555,Insider,Unpatched Software,Encryption,43,http://sohacogroup.com.vn/index.php?option=com_virtuemart&Itemid=128&page=shop.browse&category_id=26,defacement,good
Brazil,2023,SQL Injection,Telecommunications,31.54,839281,Insider,Weak Passwords,Encryption,25,homedit.com/marylin-monroe-themed-hotel-room/,benign,bad
Germany,2017,SQL Injection,IT,33.79,772541,Nation-state,Unpatched Software,Antivirus,46,http://www.holidayclub-mtb.com/holiday/index.php?option=com_content&view=article&id=52&Itemid=83,defacement,good
Japan,2021,SQL Injection,Retail,64.81,263770,Unknown,Social Engineering,Antivirus,62,lembreidevocehoje.com.br/ppoz/Scam_PayPal_2012/www.paypal.com/paypal/cgi-bin/webscrcmd=_login-run/webscrcmd=_account-run/updates-paypal/confirm-paypal,benign,bad
Japan,2017,SQL Injection,Healthcare,54.26,839368,Insider,Unpatched Software,Antivirus,40,topprospectsbaseball.com/10uteam/5ryanpomeroy.html,benign,good
France,2021,Malware,Government,50.84,7910,Unknown,Unpatched Software,Firewall,19,torrentreactor.net/torrents/4376114/Broken-Bells-FULL-ALBUM,benign,good
UK,2023,Malware,Banking,55.34,259176,Unknown,Unpatched Software,VPN,3,http://drogheriapreti.com/component/mailto/index.html?tmpl=component&link=50295597a7493ac3087ed27c030b77c29b3c6aeb,defacement,good
Russia,2021,Man-in-the-Middle,IT,70.97,465446,Unknown,Unpatched Software,Encryption,51,www.nvqmadesimple.com/track/images/Login.php,benign,bad
UK,2018,DDoS,IT,17.99,60917,Unknown,Zero-day,VPN,1,choirsongs.net/,benign,bad
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68,bonluxat.com/a/Philippe_Starck_S.W.B._Sleepy_Working_Bed.html,benign,good
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25,zoominfo.com/people/Craig_Gordon_549559759.aspx,benign,good
UK,2017,Ransomware,Healthcare,55.45,490818,Hacker Group,Unpatched Software,VPN,65,http://www.pedalecesenateciclineri.org/index.php?option=com_kunena&func=profile&userid=70&Itemid=50,defacement,bad
India,2020,DDoS,Telecommunications,18.18,208313,Hacker Group,Weak Passwords,Encryption,5,omegawatches.com/stores/map/store-details?store=17695,benign,good
France,2021,Man-in-the-Middle,Education,20.57,119348,Nation-state,Unpatched Software,Firewall,48,stevievallance.com/,benign,bad
Brazil,2024,Ransomware,Healthcare,6.67,553944,Hacker Group,Social Engineering,Encryption,64,creativequotations.com/one/578.htm,benign,good
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3,seacoastcommercebank.com/,benign,good
China,2015,SQL Injection,Healthcare,24.07,950991,Nation-state,Social Engineering,Encryption,49,123people.com/s/lance+lamotte,benign,good
USA,2018,Ransomware,Healthcare,87.42,80926,Hacker Group,Unpatched Software,Antivirus,19,http://kotaku.com/mma-fighter-claims-the-new-mortal-kombat-ripped-off-her-1697868061/layer/,benign,good
Russia,2022,Man-in-the-Middle,Education,96.44,106169,Nation-state,Unpatched Software,Encryption,28,http://facebook.com.accounts.login.userid55493d5ds52.fs32.info/fb/fbn/?next=http%3A%2F%2Fwww.facebook.com%2videos%2F%3AJ%4ID%1A#,phishing,good
Australia,2022,DDoS,Telecommunications,4.81,683733,Nation-state,Zero-day,VPN,65,manta.com/c/mt4bb0n/bannister-mall,benign,bad
Australia,2021,Man-in-the-Middle,Banking,82.87,255967,Unknown,Social Engineering,VPN,23,mag.damnserver.com/gallery/Roxanne-Blaze.html,benign,bad
UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41,penguinpoop.com/2010/pittsburgh-penguins-eric-tangradi-the-new-number-26/,benign,good
Japan,2015,Malware,Education,17.19,899381,Insider,Unpatched Software,Firewall,66,www.clos-alesia.com/components/com_contact/models/ben/0b826b98d5a402f18a5289734933bf50/,benign,good
Russia,2022,Man-in-the-Middle,Banking,53.95,846546,Unknown,Unpatched Software,VPN,51,fr.linkedin.com/in/bernardpatry,benign,bad
Germany,2017,Malware,Telecommunications,94.87,324790,Insider,Zero-day,VPN,42,http://digg.com/video/what-seems-like-a-guy-singing-to-ants-abruptly-becomes-a-really-gross-dare,benign,good
UK,2018,SQL Injection,Government,34.09,197436,Unknown,Zero-day,Antivirus,10,soxblog.projo.com/2011/10/lars-anderson-t-1.html,benign,good
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32,http://www.olab.se/index.php/oestersunds-lastbilsservice/om-foeretaget,defacement,good
France,2017,SQL Injection,Education,14.54,171095,Hacker Group,Zero-day,AI-based Detection,63,jacketflap.com/nadine-bernard-westcott/115104,benign,good
Russia,2018,Man-in-the-Middle,Banking,86.87,800683,Nation-state,Unpatched Software,Firewall,57,https://pastebin.com/raw/ebV5xBVm,malware,good
Germany,2018,Man-in-the-Middle,Retail,43.28,22241,Hacker Group,Zero-day,Firewall,5,unternehmernetzwerk.de,phishing,bad
Germany,2020,DDoS,IT,63.96,650469,Unknown,Unpatched Software,Antivirus,58,https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FOy25qDsstQnUl3x0+devil+vegetation+teacher+4+%23ero+%23douga+%23agesage,benign,good
Australia,2024,DDoS,IT,82.49,102295,Unknown,Weak Passwords,VPN,46,personals.salon.com/p/register.cgi?dcb=personals.salon.com&picid=2XAwuz1kmzU67kXYBHCwAAEAkAACqNwAAAioAAN0%2FAAA-&featured=1,benign,good
France,2018,Ransomware,Telecommunications,11.28,504165,Hacker Group,Zero-day,AI-based Detection,55,mp3hardplay.proboards.com/index.cgi?board=Musiczone&action=print&thread=417,benign,good
France,2015,Ransomware,IT,74.03,597723,Unknown,Zero-day,Encryption,48,dailymotion.com/video/xkuqx_common-ft-kanye-west-go_music,benign,bad
France,2017,Malware,Telecommunications,96.63,389525,Unknown,Zero-day,Antivirus,32,airliners.net/profile/jetsgo,benign,bad
Russia,2022,SQL Injection,IT,2.1,354694,Insider,Weak Passwords,Encryption,18,home.comcast.net/~hishidingplace/dcv/d.html,benign,bad
Australia,2018,DDoS,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55,mudcat.org/@displaysong.cfm?SongID=635,benign,good
UK,2022,Phishing,Retail,26.63,725905,Hacker Group,Zero-day,VPN,54,http://9779.info/%E5%BD%A9%E7%BA%B8%E5%89%AA%E8%B4%B4%E7%94%BB%E8%8A%B1%E6%9C%B5%E5%9B%BE%E7%89%87/,malware,good
India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17,msdn.microsoft.com/en-us/library/ms810829.aspx,phishing,bad
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22,tinydl.com/musics-and-clips/1059566316-va-daniel-desnoyers-summer-session-11-2011.html,benign,bad
Australia,2022,Malware,Healthcare,47.92,25905,Nation-state,Unpatched Software,VPN,40,youtube.com/watch?v=ipjp9dC3tjo,benign,good
France,2023,Ransomware,Telecommunications,84.79,263566,Hacker Group,Zero-day,AI-based Detection,64,homezilla.ca/search.php?prv=quebec&cty=Bois-des-filion&adr=211+Mt%C3%A9e+Gagnon,benign,good
Japan,2023,DDoS,Government,17.69,799380,Unknown,Weak Passwords,AI-based Detection,57,http://blogger.com.buses-forsale.co.za/sq/index.php?UsingSSL=1&amp;bshowgif=0&amp;co_partnerId=2&amp;errmsg=1&amp;favoritenav=&amp;i1=-1&amp;k=1&amp;pUserId=&amp;pa1=&amp;pageType=-1&amp;amp,phishing,good
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32,montreal-travelguide.com/Downtown/Festival-Nouveau-Cinema-Montreal/,benign,good
USA,2023,SQL Injection,IT,19.37,49480,Hacker Group,Social Engineering,Encryption,17,http://www.rosstars.nl/heren/rh1?layout=default,defacement,good
USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27,http://onlineigri.net/all-games/american-bus-2,defacement,good
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9,footballtransferleague.co.uk/football_club.aspx?football_club=Rangers,benign,good
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61,hot-people.info/CopperasCo_TX_M--Demery_Mark-Dirnbauer_4930.html,benign,good
USA,2022,Ransomware,Education,14.5,353297,Insider,Weak Passwords,VPN,58,www.marine-survey.de/index.html,phishing,good
USA,2016,SQL Injection,Education,16.5,347293,Nation-state,Unpatched Software,Firewall,65,constructionbidsource.com/dbe-advertising/dbeads_detail.php?recordID=7970,benign,bad
Australia,2016,Phishing,Education,98.72,6670,Nation-state,Social Engineering,VPN,24,http://videoporn24.ru/skins/01/js/prettyPhoto/css/prettyPhoto.css,malware,good
Japan,2023,Man-in-the-Middle,Government,81.57,738014,Unknown,Social Engineering,Antivirus,24,landinbulgaria.com/,benign,good
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55,http://shziang.cn/images/?ref=http://zvdjzbeus.battle.net/d3/en/index,phishing,good
Australia,2021,Ransomware,Retail,61.46,860546,Unknown,Zero-day,AI-based Detection,22,amazon.com/Cartridges-World-11th-Frank-Barnes/dp/0896892972,benign,good
France,2020,Malware,Government,27.43,82853,Hacker Group,Social Engineering,Encryption,67,web.tiscali.it/transaction/,phishing,good
Australia,2021,Malware,Retail,22.48,70067,Insider,Weak Passwords,VPN,22,http://www.feuerwehr-werl.de/index.php?option=com_content&view=article&id=71&Itemid=70,defacement,bad
India,2018,Phishing,IT,70.85,677164,Nation-state,Weak Passwords,Firewall,7,phaseoneunderwater.com//wp-content/uploads/m2u/m2u/M2ULogin.doaction=Login.html,benign,good
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,http://www.thenathanbaker.com/thenathanbaker.com/contact/rw_common/themes/simple/print.css,malware,good
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23,hoovers.com/company/Swank_Motion_Pictures_Inc/ryytksi-1.html,benign,good
Australia,2022,Man-in-the-Middle,Government,90.65,898589,Hacker Group,Zero-day,AI-based Detection,58,www.omaty.net/plugins/system/legacy/PROMOCAO/,benign,bad
Germany,2016,Man-in-the-Middle,Government,58.93,249279,Unknown,Weak Passwords,VPN,58,en.wikipedia.org/wiki/Les_Rescap%C3%A9s,benign,bad
Japan,2021,DDoS,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7,ctr.concordia.ca/2004-05/oct_21/20/,benign,good
Brazil,2022,Phishing,Banking,75.01,771434,Hacker Group,Social Engineering,AI-based Detection,38,paypal.info.update.65rth46e5rg3w1erf65gwer4g5r4g65.rg6e5rger51g3w51e5gweg12e3wf1w.g1w5e6g1t321h5y1h.rth15y1h3r2t1h5561h.1h55132we1r5q1w5d1qw.q15frqf21er5g435g1er25g14ewg.g231g515212ewf4w5fqef.1rg45er2g1w.autoconnectzambia.com/ewrewrewewwewe1ewewewwewerwerewrwerweewew/dssddsdsfdfsdfssdfdsfsdfsdfdfdfdffdfdfdfd/info/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5747bccf466f1f16187e5b5df2dcbab2e747bccf466f1f16187e5b5df2dcbab2e,benign,good
India,2024,SQL Injection,Retail,48.83,96083,Unknown,Weak Passwords,Firewall,17,themidnightcafe.org/?p=3328,benign,good
Germany,2016,Phishing,Telecommunications,46.28,992092,Hacker Group,Unpatched Software,Encryption,3,http://www.metalsul.ind.br/site/index.php?option=com_morfeoshow&task=view&gallery=13,defacement,good
China,2015,Ransomware,Government,86.88,99312,Unknown,Zero-day,AI-based Detection,60,genealogy.com/users/d/e/m/Timothy-Demonbreun/PHOTO/0001photo.html,benign,good
Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67,http://id-app.jdevcloud.com/id/pbb/pbb/desbloqueandodispositivo.html#www2.bancobrasil.com.br/aapf/login.jsp?aapf.IDH=sim&amp;perfil=1&amp;_ga=2.140361011.1032577744.1580043252-1283269116.1580043252,phishing,good
Brazil,2015,DDoS,Banking,18.87,976838,Unknown,Weak Passwords,Firewall,65,http://s-tab.ru/portfolio/3-plastik/detail/1123-dv05.html?tmpl=component&detail=0&buttons=1,defacement,good
Russia,2018,Malware,Banking,17.99,593009,Unknown,Social Engineering,Firewall,27,http://butrading.com/index.php?page=shop.ask&product_id=218&subject=Contacteer+ons+voor+een+prijsopgave:+sjaal+(login+voor+prijs)&option=com_virtuemart&Itemid=56&lang=nl,defacement,good
Germany,2024,Phishing,Government,22.46,499142,Nation-state,Unpatched Software,VPN,70,travelingluck.com/North%20America/Canada/Quebec/_5940155_District%20judiciaire%20d'Iberville.html,benign,good
Australia,2020,SQL Injection,Telecommunications,53.32,55392,Unknown,Zero-day,VPN,44,facebook.com/walterhawkins82,benign,bad
Brazil,2017,DDoS,Education,29.76,913276,Insider,Social Engineering,Encryption,57,japanbaseballdaily.com/historymay.html,benign,good
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64,virtualtourist.com/hotels/North_America/Canada/Province_of_Quebec/Montreal-906413/Hotels_and_Accommodations-Montreal-Marriott_Chateau_Champlain-BR-1.html,benign,bad
USA,2018,Ransomware,Healthcare,27.37,543437,Unknown,Unpatched Software,Firewall,20,mrskin.com/monique-mercure-nude-c4630.html,benign,bad
Russia,2024,Ransomware,Healthcare,63.74,83374,Insider,Zero-day,VPN,45,indiaglitz.com/channels/hindi/article/66092.html,benign,good
Brazil,2021,SQL Injection,Banking,4.34,258021,Hacker Group,Unpatched Software,Encryption,46,yasni.co.uk/samuel+hanna/check+people,benign,good
Brazil,2015,Man-in-the-Middle,Banking,74.27,551388,Unknown,Unpatched Software,Encryption,51,http://elcomercio.pe/luces/cine/cannes-2015-asi-fue-presentacion-primer-filme-fotos-noticia-1810875?flsm=1,benign,good
Russia,2017,Man-in-the-Middle,Retail,17.22,242574,Nation-state,Social Engineering,Encryption,59,todd-jacobs.suite101.com/nfl-preview-2010--houston-texans-a242839,benign,good
Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65,http://hotlinegsm.com/products/mobile-and-tablet/blackberry-9220-detail,malware,good
Brazil,2021,Ransomware,Healthcare,78.08,989151,Unknown,Social Engineering,AI-based Detection,2,mixedmartialarts.com/f/F3AD62F2946A0282/Dante-Henderson/,benign,good
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24,peterlang.org/,benign,good
Japan,2015,SQL Injection,IT,36.98,452892,Unknown,Weak Passwords,VPN,17,en.wikipedia.org/wiki/California_State_Route_185,benign,good
USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35,https://bhamdemo.com/css/update/chaseonline/login.htm,phishing,bad
France,2021,Man-in-the-Middle,Education,20.57,119348,Nation-state,Unpatched Software,Firewall,48,en.wikipedia.org/wiki/Don_Ross_(album),benign,good
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30,mp3raid.com/music/luniz.html,benign,good
Russia,2020,Phishing,Banking,98.38,355505,Nation-state,Unpatched Software,AI-based Detection,35,http://www.philharmonia-chor-stuttgart.de/konzerte/rueckblick/128-sonntag-4-dezember-2011-17-uhr,defacement,good
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62,enpq.qc.ca/pregen_e.html,benign,good
Japan,2021,SQL Injection,IT,51.24,452476,Nation-state,Zero-day,VPN,41,wn.com/Fort_Ticonderoga,benign,bad
